id,qid1,qid2,question1,question2,labels
0,1,2,Massage oil. Where I can buy good oil for massage?,massage oil. is there any place i can find scented massage oils in qatar?,1
1,3,4,Massage oil. Where I can buy good oil for massage?,Philipino Massage center. Hi;Can any one tell me a place where i can have a good massage drom philipinies????? yesterday i had a massage in Bio-Bil they charged me 300qr for 01 hour bt it is totally waste... pls advice me if theres any philipinos....,1
2,5,6,Massage oil. Where I can buy good oil for massage?,Best place for massage. Tell me; where is the best place to go for a massage? Mind you; I don't want to spend 1000QR for it... (Guys; please don't come up with answers that you would gladly do it yourself; plz...) ,0
3,7,8,Massage oil. Where I can buy good oil for massage?,body massage. hi there; i can see a lot of massage center here; but i dont which one is better. can someone help me which massage center is good...and how much will it cost me? thanks,1
4,9,10,Massage oil. Where I can buy good oil for massage?,What attracts you more ?. What attracts you more ?,0
5,11,12,Massage oil. Where I can buy good oil for massage?,You have got to be joking.....Seen in a shop in Downtown Manama !. [img_assist|nid=54388|title=Placenta cream ????|desc=|link=none|align=left|width=440|height=388] What the hell do you do with Placenta cream ??????,0
6,13,14,Massage oil. Where I can buy good oil for massage?,Blackheads. Any suggestions on how to get rid of them??,0
7,15,16,Massage oil. Where I can buy good oil for massage?,Where to get Tea Tree Oil. Can someone please advise me my husband wants to get Tea Tree Oil pure in Doha? thank you,1
8,17,18,Massage oil. Where I can buy good oil for massage?,"""very strong migraine pain what to do ?. plz help we are living in hell for 24 days he tried all kind of medicine that was advised to him we tried years before """"hugama"""" ; acupuncture deferent oils ; teas if any one have any idea or experience with this kind of sickness plz give me advise""",0
9,19,20,Massage oil. Where I can buy good oil for massage?,--Garlic Oil--. Can someone please tell me where can i find Garlic Oil in Qatar? i heard it is good for hairfall. dont know if its true or not but really want to try it. So help me guys!,0
10,21,22,Can i exptend my family visit visa after 6 month??. Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,Convert Tourist visa to Family visit visa. Hi all need your help/advice we'll be in Qatar next week; me on a working visa and tourist visa for my family (wife son;daughter). My query is can I convert their tourist visa to family visit visa even I dont have yet a Qatar ID? My profession in visa is Civil Engineer. Thanks in advance..,1
11,23,24,Can i exptend my family visit visa after 6 month??. Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,Maximum period of a Visit Visa?. I'm currently in Doha on a 3 month Visit Visa. Anybody can please tell me; whether I can extend this futher more; maximum of how many months?,1
12,25,26,Can i exptend my family visit visa after 6 month??. Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,Re-apply family visit visa (no need to wait 3 months). My visa is expiring real soon (completed 6th months). Can my husband re-apply for a family visit visa while I exit in near country like UAE; waiting for my visa to process? Or I have to exit to my country of origin before he re apply for a family visit? Has anyone tried this procedure? Thank you very much.,1
13,27,28,Can i exptend my family visit visa after 6 month??. Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,Visa Extension for My Sister in Law. Dear All; I would like to ask some help/advice from you regarding my sister's in law visa; she is under my sponsorship (family visit visa) and her visa will be expired on Nov.17;2012 (3months from the time she arrive in Doha). My question is; can I still extend her visa for another (1)one month? Please help and advice! Thank you!,1
14,29,30,Can i exptend my family visit visa after 6 month??. Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,Family visit visa extension in Imigration?. Dear you know imigration having any particular time for extending family visit visa? In doha; imigration office only in madina kalifa or ? which time & which days captain available there? We need to extend our family visit visa this month end then six months finished... Please help me ...,1
15,31,32,Can i exptend my family visit visa after 6 month??. Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,New Visit Visa Extension. My sponsor; who is my brother; recently applied for a visit visa extension for me. It was approved and I was extended for another 4 months. But the thing is the visa extension is just a printed form and not a sticker that should have been posted in my passport. Anyone who can comment on this? Is this really the new system? Or have we missed something?,0
16,33,34,Can i exptend my family visit visa after 6 month??. Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,Family visit visa query. Is it a requirement to have my name on my wife's passport to get a family visit visa for 6 months? What are the other documents required to get a family visit visa (6 months) and within how many days this visa is issued? Thanks.,1
17,35,36,Can i exptend my family visit visa after 6 month??. Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,Return ticket required for the Family visit visa ?. Return ticket required for the Family visit visa ? My family coming on 26th January in visit visa; do they need return ticket to enter into the qatar ? .. Kindly reply....,0
18,37,38,Can i exptend my family visit visa after 6 month??. Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,What is the right visa to stay in qatar?. Hi; My husband started to work in qatar last week under work visa. currently he is in the process to apply residence permit. According to the company he worked for; I can only join him after 6 months since he need 6 months bank statement to apply my visa. Currently I am in Malaysia and planning to go there next month. May I know what is the suitable visa should i get and what are procedures to get it. Thanks.,1
19,39,40,Can i exptend my family visit visa after 6 month??. Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,Multiple entry Visit Visa. Is there any option of Multiple Entry Visit Visa for Qatar? Someone is saying; there is only Single Entry visa option. Also; where can i find the list of required documents as I couldn't see any such document in moi.gov.qa website.,1
20,41,42,how to extend the visit visa after 6 months and how long period?. want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,Maximum period of a Visit Visa?. I'm currently in Doha on a 3 month Visit Visa. Anybody can please tell me; whether I can extend this futher more; maximum of how many months?,1
21,43,44,how to extend the visit visa after 6 months and how long period?. want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,MAXIMUM PERIOD OF EXTENDING VISIT VISA????????. HI ;; IF WIFE IS UNDER HER HUSBAND'S SPONSORSHIP AND IS WILLING TO COME QATAR ON VISIT; HOW LONG SHE CAN STAY AFTER EXTENDING THE VISA EVERY MONTH? I HAVE HEARD ITS NOT POSSIBLE TO EXTEND VISIT VISA MORE THAN 6 MONTHS? CAN U PLEASE ANSWER ME.. THANKZZZ...,1
22,45,46,how to extend the visit visa after 6 months and how long period?. want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,Convert Tourist visa to Family visit visa. Hi all need your help/advice we'll be in Qatar next week; me on a working visa and tourist visa for my family (wife son;daughter). My query is can I convert their tourist visa to family visit visa even I dont have yet a Qatar ID? My profession in visa is Civil Engineer. Thanks in advance..,0
23,47,48,how to extend the visit visa after 6 months and how long period?. want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,Is it true??? VISIT VISA????. Is it true that personal visit visa cannot extend to 5 months as per today news? Validity is only one month-- no more extension?,1
24,49,50,how to extend the visit visa after 6 months and how long period?. want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,extended visa to business visa. My visa is visit visa for 1 month then naextend for another 5 months then nkahanap n aq ng work nung png 4th month q. Sabi ng company mavivisahan aq then nung malapit n maxpired ung visa q ang gnawa ng company is inextend nla ng another 1 month and now wla p din aqng working visa sbi nla plage ay on process. My question is pwede p bng maextend ulit un or pwede bng business visa nlng muna while waiting for my working visa??? thanks!,1
25,51,52,how to extend the visit visa after 6 months and how long period?. want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,Resigning within probation period. Dear All; I have been working with a local company; my probaion period is 6 months. however i m not happy with my job; and would like to change. i got another offer from different co. 1.can i resign? if so how many days notice as per qatari law. 2.can i change my sponsorship to my new company I have done medical but finger print NOT done; not contract sign.. pls help me,0
26,53,54,how to extend the visit visa after 6 months and how long period?. want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,Visit Visa/Work Visa. Hi Guys; Do U any have idea regarding the procedure of Visas over there in Qatar. If anybody comes in visit visa and search for jobs over there. If any find the job; in that circumstance how the process will be to change the visit visa to working visa. Is it difficult and time consuming. How have to process for the change of visa???? Kindly suggest anybody..Take care,1
